STATION_ID,STATION_NAME,AVG_POP
11,Avondale,0.63
11,Avondale,1.0512500000000002
11,Avondale,1.6600000000000001
11,Avondale,2.2687500000000003
11,Avondale,3.1228571428571437
11,Avondale,3.037777777777779
11,Avondale,3.663333333333334
11,Avondale,4.271111111111113
11,Avondale,4.923333333333336
11,Avondale,5.563333333333337
11,Avondale,6.850000000000004
11,Avondale,7.318750000000004
22,Brookhaven,0.37142857142857144
22,Brookhaven,0.71
22,Brookhaven,1.0025
22,Brookhaven,1.37875
22,Brookhaven,1.7825
22,Brookhaven,1.956666666666667
22,Brookhaven,2.3255555555555554
22,Brookhaven,2.6411111111111105
22,Brookhaven,3.0477777777777777
22,Brookhaven,3.421111111111111
22,Brookhaven,4.21875
22,Brookhaven,4.59
12,East Lake,0.4116666666666666
12,East Lake,0.6799999999999999
12,East Lake,1.0924999999999998
12,East Lake,1.4624999999999997
12,East Lake,1.9771428571428569
12,East Lake,1.8822222222222225
12,East Lake,2.2433333333333336
12,East Lake,2.614444444444444
12,East Lake,3.037777777777778
12,East Lake,3.481111111111112
12,East Lake,4.3050000000000015
12,East Lake,4.638750000000001
23,Lenox,0.32571428571428573
23,Lenox,0.5742857142857142
23,Lenox,0.7574999999999998
23,Lenox,1.0262499999999999
23,Lenox,1.305
23,Lenox,1.4522222222222223
23,Lenox,1.7500000000000002
23,Lenox,2.048888888888889
23,Lenox,2.348888888888889
23,Lenox,2.6577777777777776
23,Lenox,3.2974999999999994
23,Lenox,3.588749999999999
13,Edgewood,0.48166666666666663
13,Edgewood,0.79125
13,Edgewood,1.2337500000000003
13,Edgewood,1.6325000000000005
13,Edgewood,2.2600000000000002
13,Edgewood,2.1722222222222225
13,Edgewood,2.5655555555555556
13,Edgewood,2.9655555555555555
13,Edgewood,3.405555555555555
13,Edgewood,3.875555555555555
13,Edgewood,4.76875
13,Edgewood,5.1225
14,Inman Park,0.6183333333333334
14,Inman Park,1.0237500000000002
14,Inman Park,1.6150000000000004
14,Inman Park,2.190000000000001
14,Inman Park,2.9928571428571438
14,Inman Park,2.860000000000001
14,Inman Park,3.414444444444446
14,Inman Park,3.904444444444446
14,Inman Park,4.533333333333335
14,Inman Park,5.164444444444445
14,Inman Park,6.3625
14,Inman Park,6.8475
15,North Springs,0.7442857142857144
15,North Springs,1.4187500000000002
15,North Springs,2.2250000000000005
15,North Springs,2.957500000000001
15,North Springs,3.696250000000001
15,North Springs,3.95777777777778
15,North Springs,4.732222222222224
15,North Springs,5.417777777777779
15,North Springs,6.186666666666667
15,North Springs,6.91
15,North Springs,8.551250000000003
15,North Springs,9.341250000000002
16,Sandy Springs,0.6128571428571429
16,Sandy Springs,1.1375000000000002
16,Sandy Springs,1.6800000000000004
16,Sandy Springs,2.2812500000000004
16,Sandy Springs,2.8625000000000003
16,Sandy Springs,3.1466666666666665
16,Sandy Springs,3.790000000000001
16,Sandy Springs,4.406666666666669
16,Sandy Springs,5.054444444444447
16,Sandy Springs,5.680000000000002
16,Sandy Springs,6.998750000000002
16,Sandy Springs,7.5775000000000015
17,Dunwoody,0.42571428571428577
17,Dunwoody,0.7875000000000001
17,Dunwoody,1.18375
17,Dunwoody,1.5725
17,Dunwoody,1.9787499999999998
17,Dunwoody,2.1811111111111106
17,Dunwoody,2.682222222222222
17,Dunwoody,3.117777777777777
17,Dunwoody,3.5955555555555545
17,Dunwoody,4.056666666666667
17,Dunwoody,5.010000000000001
17,Dunwoody,5.411250000000001
18,Medical Center,0.6571428571428573
18,Medical Center,1.2037499999999999
18,Medical Center,1.8249999999999997
18,Medical Center,2.4187499999999997
18,Medical Center,3.0362499999999994
18,Medical Center,3.3111111111111104
18,Medical Center,3.883333333333333
18,Medical Center,4.464444444444444
18,Medical Center,5.09
18,Medical Center,5.768888888888889
18,Medical Center,7.107500000000001
18,Medical Center,7.6850000000000005
19,Lindbergh Center,0.46571428571428575
19,Lindbergh Center,0.9012500000000001
19,Lindbergh Center,1.3724999999999998
19,Lindbergh Center,1.8224999999999998
19,Lindbergh Center,2.2575
19,Lindbergh Center,2.4988888888888887
19,Lindbergh Center,2.9600000000000004
19,Lindbergh Center,3.4133333333333344
19,Lindbergh Center,3.886666666666668
19,Lindbergh Center,4.38888888888889
19,Lindbergh Center,5.3762500000000015
19,Lindbergh Center,5.815000000000002
1,H. E. Holmes,0.42714285714285716
1,H. E. Holmes,0.8242857142857142
1,H. E. Holmes,1.1237499999999998
1,H. E. Holmes,1.5175
1,H. E. Holmes,1.91625
1,H. E. Holmes,2.143333333333333
1,H. E. Holmes,2.5777777777777775
1,H. E. Holmes,2.976666666666666
1,H. E. Holmes,3.446666666666666
1,H. E. Holmes,3.9011111111111094
1,H. E. Holmes,4.779999999999999
1,H. E. Holmes,5.14625
2,West Lake,0.1357142857142857
2,West Lake,0.23428571428571437
2,West Lake,0.30500000000000005
2,West Lake,0.39875
2,West Lake,0.4862499999999999
2,West Lake,0.5488888888888889
2,West Lake,0.6822222222222223
2,West Lake,0.7800000000000001
2,West Lake,0.8788888888888889
2,West Lake,1.018888888888889
2,West Lake,1.2375
2,West Lake,1.33625
3,Ashby,0.06400000000000002
3,Ashby,0.138
3,Ashby,0.17333333333333334
3,Ashby,0.26166666666666666
3,Ashby,0.34500000000000003
3,Ashby,0.41285714285714287
3,Ashby,0.5585714285714286
3,Ashby,0.6642857142857144
3,Ashby,0.7571428571428571
3,Ashby,0.8842857142857142
3,Ashby,1.1383333333333332
3,Ashby,1.2316666666666667
4,College Park,0.8328571428571427
4,College Park,1.575
4,College Park,2.405
4,College Park,3.26125
4,College Park,4.15375
4,College Park,4.597777777777776
4,College Park,5.493333333333331
4,College Park,6.409999999999998
4,College Park,7.344444444444442
4,College Park,8.251111111111108
4,College Park,10.131249999999996
4,College Park,10.993749999999995
5,East Point,0.72
5,East Point,1.28375
5,East Point,1.9962499999999999
5,East Point,2.74
5,East Point,3.47125
5,East Point,3.7733333333333343
5,East Point,4.5133333333333345
5,East Point,5.177777777777779
5,East Point,5.901111111111112
5,East Point,6.664444444444445
5,East Point,8.25375
5,East Point,8.987500000000002
6,Lakewood,0.4471428571428571
6,Lakewood,0.8212499999999999
6,Lakewood,1.2512499999999995
6,Lakewood,1.69125
6,Lakewood,2.15
6,Lakewood,2.3855555555555563
6,Lakewood,2.8800000000000003
6,Lakewood,3.293333333333334
6,Lakewood,3.7933333333333343
6,Lakewood,4.276666666666668
6,Lakewood,5.253750000000003
6,Lakewood,5.665000000000003
7,Oakland City,0.5185714285714287
7,Oakland City,0.96625
7,Oakland City,1.48
7,Oakland City,1.9812499999999997
7,Oakland City,2.5412499999999993
7,Oakland City,2.805555555555555
7,Oakland City,3.3277777777777775
7,Oakland City,3.8966666666666665
7,Oakland City,4.458888888888889
7,Oakland City,5.07111111111111
7,Oakland City,6.232499999999998
7,Oakland City,6.759999999999997
8,West End,0.6814285714285715
8,West End,1.2887500000000003
8,West End,2.0300000000000002
8,West End,2.7662500000000003
8,West End,3.5275
8,West End,3.9311111111111114
8,West End,4.700000000000001
8,West End,5.504444444444447
8,West End,6.320000000000003
8,West End,7.131111111111115
8,West End,8.780000000000003
8,West End,9.503750000000002
9,Indian Creek,0.4566666666666667
9,Indian Creek,0.805
9,Indian Creek,1.2612500000000002
9,Indian Creek,1.7250000000000003
9,Indian Creek,2.4571428571428577
9,Indian Creek,2.358888888888889
9,Indian Creek,2.817777777777778
9,Indian Creek,3.306666666666667
9,Indian Creek,3.806666666666667
9,Indian Creek,4.308888888888889
9,Indian Creek,5.2975
9,Indian Creek,5.67875
20,Doraville,0.8171428571428571
20,Doraville,1.6328571428571428
20,Doraville,2.1987500000000004
20,Doraville,3.0300000000000007
20,Doraville,3.7550000000000012
20,Doraville,4.144444444444445
20,Doraville,4.910000000000001
20,Doraville,5.672222222222224
20,Doraville,6.580000000000001
20,Doraville,7.465555555555557
20,Doraville,9.210000000000003
20,Doraville,9.901250000000003
10,Kensington,0.35166666666666674
10,Kensington,0.5637500000000001
10,Kensington,0.8937500000000002
10,Kensington,1.185
10,Kensington,1.6628571428571433
10,Kensington,1.6144444444444446
10,Kensington,1.9422222222222227
10,Kensington,2.2566666666666664
10,Kensington,2.616666666666666
10,Kensington,2.9566666666666657
10,Kensington,3.6212499999999985
10,Kensington,3.8974999999999986
21,Chamblee,0.5585714285714285
21,Chamblee,1.1071428571428572
21,Chamblee,1.4412500000000004
21,Chamblee,1.9350000000000003
21,Chamblee,2.4074999999999998
21,Chamblee,2.621111111111111
21,Chamblee,3.1288888888888895
21,Chamblee,3.5988888888888897
21,Chamblee,4.181111111111112
21,Chamblee,4.752222222222223
21,Chamblee,5.87375
21,Chamblee,6.35875
